model_name,data_set,date_entered,train_board_accuracy,train_board_f1_score,test_board_accuracy,test_board_f1_score,train_severity_custom_metric,train_severity_f1_weighted,test_severity_custom_metric,test_severity_f1_weighted,train_impact_custom_metric,train_impact_f1_weighted,test_impact_custom_metric,test_impact_f1_weighted,train_size,train_brd_36,train_brd_41,train_brd_43,train_low_sev,train_med_sev,train_high_sev,train_low_imp,train_med_imp,train_high_imp,test_size,test_brd_36,test_brd_41,test_brd_43,test_low_sev,test_med_sev,test_high_sev,test_low_imp,test_med_imp,test_high_imp
2k_dataset,Tickets with Classifications.xlsx,25/06/2021 11:01:00,0.943018159,0.942999429,0.8775,0.876657667,0.882905448,0.716840554,0.8075,0.622036669,0.903569192,0.750972069,0.805,0.671101065,1597,345,641,611,868,543,186,1179,265,153,400,88,172,140,224,129,47,297,65,38
4k_dataset,NewTestSet.csv,25/06/2021 11:46:23,0.8721875,0.871758105,0.82875,0.828975656,0.8209375,0.622701806,0.7625,0.514436964,0.884375,0.64690129,0.89375,0.737502145,3200,369,1455,1376,1659,943,598,2861,258,81,800,87,380,333,430,232,138,708,68,24
